hotel_id,name,prefecture,city,price_per_person,rating
yad378719,FORZA　ホテルフォルツァ金沢,石川県,金沢・湯涌,15600.0,4.6
yad350199,THE HOTEL SANRAKU KANAZAWA（ザ ホテル山楽 金沢）,石川県,金沢・湯涌,112000.0,4.8
yad304736,ホテル・トリフィート金沢,石川県,金沢・湯涌,16250.0,4.6
yad388181,天然温泉 加賀の宝泉 御宿 野乃金沢（ドーミーインチェーン）,石川県,金沢・湯涌,18450.0,4.5
yad362769,ホテルインターゲート金沢,石川県,金沢・湯涌,17400.0,4.5
yad379790,金沢湯涌温泉　百楽荘,石川県,金沢・湯涌,149115.0,4.9
yad362327,OMO5金沢片町 by 星野リゾート,石川県,金沢・湯涌,112890.0,4.7
yad388405,金沢白鳥路　ホテル山楽,石川県,金沢・湯涌,110750.0,4.4
yad321280,ホテル日航金沢,石川県,金沢・湯涌,111305.0,4.6
yad376255,ダイワロイネットホテル金沢駅西口,石川県,金沢・湯涌,16520.0,4.7
yad321961,スマイルホテル金沢西口駅前（２０２１年１１月２８日オープン）,石川県,金沢・湯涌,15365.0,4.4
yad349530,天然温泉加賀の湧泉　ドーミーイン金沢,石川県,金沢・湯涌,16500.0,4.4
yad380782,ダイワロイネットホテル金沢ＭＩＹＡＢＩ,石川県,金沢・湯涌,16175.0,4.5
yad359852,金沢　彩の庭ホテル,石川県,金沢・湯涌,122836.0,4.9
yad300454,ちりはまホテルゆ華,石川県,羽咋・かほく,141000.0,4.5
yad360776,ホテルマイステイズプレミア金沢,石川県,金沢・湯涌,15000.0,4.5
yad384635,ザ・スクエアホテル金沢,石川県,金沢・湯涌,17420.0,4.4
yad384336,雨庵　金沢,石川県,金沢・湯涌,113750.0,5.0
yad321184,ホテルリソルトリニティ金沢,石川県,金沢・湯涌,14860.0,4.5
yad392384,ホテルビスタ金沢,石川県,金沢・湯涌,16000.0,4.6
yad355732,天然温泉　鼓門の湯　スーパーホテルPremier金沢駅東口,石川県,金沢・湯涌,15790.0,4.4
yad340399,アパホテル〈金沢駅前〉,石川県,金沢・湯涌,15000.0,4.2
yad334551,ＫＯＫＯ　ＨＯＴＥＬ　Ｐｒｅｍｉｅｒ　金沢香林坊,石川県,金沢・湯涌,16525.0,4.3
yad385536,変なホテル金沢　香林坊,石川県,金沢・湯涌,16460.0,4.3
yad334419,三井ガーデンホテル金沢,石川県,金沢・湯涌,110700.0,4.5
yad331056,金沢マンテンホテル駅前（マンテンホテルチェーン）,石川県,金沢・湯涌,16500.0,4.2
yad392247,ホテルマイステイズ金沢片町,石川県,金沢・湯涌,14150.0,4.2
yad300300,ＪＲ西日本グループ　ヴィアイン金沢,石川県,金沢・湯涌,15190.0,4.3
yad364246,ハイアット　セントリック　金沢,石川県,金沢・湯涌,119608.0,4.9
yad323565,アパホテル〈金沢中央〉,石川県,金沢・湯涌,14692.0,4.1
yad317689,金沢 東急ホテル,石川県,金沢・湯涌,19200.0,4.5
yad358240,Ｔマークシティホテル金沢,石川県,金沢・湯涌,14420.0,4.5
yad335705,ホテルマイステイズ金沢キャッスル,石川県,金沢・湯涌,14600.0,4.0
yad352002,金沢湯涌温泉　湯の出,石川県,金沢・湯涌,121945.0,4.7
yad336188,スマイルホテルプレミアム金沢東口駅前,石川県,金沢・湯涌,15272.0,4.3
yad384494,ホテルアマネク金沢,石川県,金沢・湯涌,16890.0,4.7
yad329525,東急ステイ金沢,石川県,金沢・湯涌,19592.0,4.7
yad368768,ホテル金沢,石川県,金沢・湯涌,16940.0,4.4
yad374216,ホテルルートイン金沢駅前,石川県,金沢・湯涌,18625.0,4.3
yad347437,金沢・深谷温泉　元湯石屋　能舞台のある秘湯の一軒宿,石川県,金沢・湯涌,127500.0,4.6
yad306202,金沢の奥座敷・歴代藩主も愛した湯　お宿やました,石川県,金沢・湯涌,125200.0,4.6
yad319051,ＡＮＡクラウンプラザホテル金沢,石川県,金沢・湯涌,113500.0,4.2
yad321933,金沢ニューグランドホテルプレステージ,石川県,金沢・湯涌,17600.0,4.5
yad357900,ホテルウィングインターナショナルプレミアム金沢駅前,石川県,金沢・湯涌,14800.0,4.3
yad392056,KUMU 金沢 by THE SHARE HOTELS,石川県,金沢・湯涌,115000.0,4.6
yad330882,ＡＮＡホリデイ・イン金沢スカイ,石川県,金沢・湯涌,15750.0,4.2
yad307100,ホテルパシフィック金沢,石川県,金沢・湯涌,14500.0,4.8
yad390712,ARIGATO STAY金沢片町（旧ホテルトレンド金沢片町）,石川県,金沢・湯涌,15650.0,4.6
